PUA	Unicode	Source
󺉻	𬖐	全字庫
󻘽	𬠖	全字庫
󻥒	𰫕	全字庫
󻱞	⿰石羨	全字庫
󽀡	𰮳	全字庫
󽒹	⿰女庚	全字庫
󽛂	⿰火老	全字庫
󽟽	⿰女即	全字庫
